Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,60,65.0,8450,1,0,100,100,100,60,100,6,60,60,100,90,7,5,2003,2003,80,60,70,70,85,196.0,80,65,100,80,65,20,100,706,10,0,150,856,100,100,1,100,856,854,0,1710,1,0,2,1,3,1,80,8,100,0,0,80,2003.0,66,2,548,65,65,100,0,61,0,0,0,0,0,0,0,0,2,2008,80,100,208500
2,20,60,80.0,9600,1,0,100,100,100,40,100,25,50,60,100,70,6,8,1976,1976,80,60,40,40,0,0.0,65,65,70,80,65,100,80,978,10,0,284,1262,100,100,1,100,1262,0,0,1262,0,1,2,0,3,1,50,6,100,1,65,80,1976.0,66,2,460,65,65,100,298,0,0,0,0,0,0,0,0,0,5,2007,80,100,181500
3,60,60,68.0,11250,1,0,75,100,100,60,100,6,60,60,100,90,7,5,2001,2002,80,60,70,70,85,162.0,80,65,100,80,65,40,100,486,10,0,434,920,100,100,1,100,920,866,0,1786,1,0,2,1,3,1,80,6,100,1,65,80,2001.0,66,2,608,65,65,100,0,42,0,0,0,0,0,0,0,0,9,2008,80,100,223500
4,70,60,60.0,9550,1,0,75,100,100,80,100,7,60,60,100,90,7,5,1915,1970,80,60,60,65,0,0.0,65,65,80,65,80,20,80,216,10,0,540,756,100,80,1,100,961,756,0,1717,1,0,1,0,3,1,80,7,100,1,80,60,1998.0,33,3,642,65,65,100,0,35,272,0,0,0,0,0,0,0,2,2006,80,20,140000
5,60,60,84.0,14260,1,0,75,100,100,40,100,16,60,60,100,90,8,5,2000,2000,80,60,70,70,85,350.0,80,65,100,80,65,70,100,655,10,0,490,1145,100,100,1,100,1145,1053,0,2198,1,0,2,1,4,1,80,9,100,1,65,80,2000.0,66,3,836,65,65,100,192,84,0,0,0,0,0,0,0,0,12,2008,80,100,250000
6,50,60,85.0,14115,1,0,75,100,100,60,100,12,60,60,100,80,5,5,1993,1995,80,60,70,70,0,0.0,65,65,20,80,65,20,100,732,10,0,64,796,100,100,1,100,796,566,0,1362,1,0,1,1,1,1,50,5,100,0,0,80,1993.0,33,2,480,65,65,100,40,30,0,320,0,0,0,50,37,700,10,2009,80,100,143000
7,20,60,75.0,10084,1,0,100,100,100,60,100,22,60,60,100,70,8,5,2004,2005,80,60,70,70,100,186.0,80,65,100,100,65,70,100,1369,10,0,317,1686,100,100,1,100,1694,0,0,1694,1,0,2,0,3,1,80,7,100,1,80,80,2004.0,66,2,636,65,65,100,255,57,0,0,0,0,0,0,0,0,8,2007,80,100,307000
8,60,60,80.0,10382,1,0,75,100,100,80,100,15,80,60,100,90,7,6,1973,1973,80,60,45,45,100,240.0,65,65,70,80,65,40,80,859,60,32,216,1107,100,100,1,100,1107,983,0,2090,1,0,2,1,3,1,50,7,100,2,65,80,1973.0,66,2,484,65,65,100,235,204,228,0,0,0,0,0,37,350,11,2009,80,100,200000
9,50,80,51.0,6120,1,0,100,100,100,60,100,18,40,60,100,80,7,5,1931,1950,80,60,90,65,0,0.0,65,65,80,65,65,20,10,0,10,0,952,952,100,80,1,50,1022,752,0,1774,0,0,2,0,2,2,50,8,85,2,65,60,1931.0,33,2,468,40,65,100,90,0,205,0,0,0,0,0,0,0,4,2008,80,20,129900
10,190,60,50.0,7420,1,0,100,100,100,80,100,4,40,40,30,50,5,6,1939,1950,80,60,40,40,0,0.0,65,65,80,65,65,20,100,851,10,0,140,991,100,100,1,100,1077,0,0,1077,1,0,1,0,2,2,50,5,100,2,65,80,1939.0,66,1,205,80,65,100,0,4,0,0,0,0,0,0,0,0,1,2008,80,100,118000
